"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Asking about Root rot management in casurina","Recommended for carbendazim 2 gram / litre of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-08 15:34:01.290"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray profenophos 2ml + neem oil 3ml + teepol 1ml / lit","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-08 17:35:29.867"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","brinjal foliar application","Recommended for brinjal foliar spray for 19:19:19 50 gm / tank","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-08 17:36:37.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Asking about carbofuron application for paddy nursery","Recommended for apply carbofuron 33 gram /cent","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-09 08:37:44.533"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg / ac","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-09 13:24:01.013"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Thrips attack in paddy nursery","Recommended for spray Azadirachtin 3 ml / litre of water","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-09 13:57:47.290"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Hadda beetle in Brinjal","Recommended for spray Profenophos 2 ml+ Teepol 1 ml/litre of water.","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-10 10:08:11.433"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","asking about Jassids in Bhendi","Recommended for spray Dimethoate 2ml / liter of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-10 16:17:40.207"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","market price of sesame","recommended for market price of sesame is rs.3863-7232/quintal","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-13 10:09:20.173"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Nutrient Management","Chilli basal fertilizer management","Recommended for apply urea 25 kg + super phospahte 150 kg + potash 20 kg / ac","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-14 12:44:59.487"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","top fertilizer management for paddy","Recommended for apply urea 25kg + Potash 15kg + Neemcake 5kg + MN mixture 5kg/ac","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-09-14 13:28:33.510"
"KHARIF","AGRICULTURE","Others","Others","Credit","Asked about how to apply crop loan","recommended for prepare to complete project report and contact to near nationalized bank","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-09-15 16:02:04.437"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10kg + neem cake 10 kg/ac","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-09-17 16:22:15.737"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Fertilizer Use and Availability","Asking about basal fertilizer management for tapioca","Recommended for Apply urea 40 kg + supper phosphate 225 kg + potash 80 kg /acre","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-17 18:31:47.983"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Weed management for paddy","Recommended for apply Butachlor 600 gram + 20 kg of sand.","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-18 06:45:47.620"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","recommended for the spray  Chlorpyriphos 2ml /lit of water","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-19 09:21:57.940"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","Asked about Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10kg + neem cake 10 kg/ac","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-09-19 17:24:51.000"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Sowing Time and Weather","Asked about Maize sowing season and variety information","recommended for Purattasipattam (September - October) TNAU maize hybrid Co 6 ,NK6240,DKC,900 M GOLD HISHELL ,PINNAKKAL ,SUPERME,CO 4","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-09-19 17:30:12.420"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","asking about paddy (ADT 37) market rate at Thattanchavady","Recommended for (ADT 37) paddy market rate at Thattanchavady Rs. 1156 -1408 / quindal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-20 11:36:49.163"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Shoot borer and Whitefly management of Brinjal","Recommended for spray Triazophos 40 % EC- 2.5 ml/1 litre of water","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-20 12:34:26.120"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","asking about thrips in chillie","Recommended for spray Dimethoate 2 ml / liter of water","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-20 13:41:22.630"
"KHARIF","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","asking about chrysanthemum root rot","recommended for apply pseudomonas fluorescens - 1 kg + FYM - 25 kg/ acre","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-20 15:16:27.653"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","Casurina planting spacing  information","recommended for Casurina planting spacing  : 1.8 x 1.8 m","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-20 20:18:57.860"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","top dressing for paddy","recommended for apply urea 25kg+potash 15kg+neemcake 10kg/ac","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-21 13:53:24.930"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail for Puduchery","Recommended for today have heavy Rain","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-21 13:56:09.920"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","asking about brinjal shoot borer management","recommended for spray Chlorpyrifos- 2 ml/ lit of water","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-23 12:04:05.347"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","paddy seed treatment","Recommended for Apply Pseudomonas fluorescens 10gm / kg of seeds / liter","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-23 19:34:44.967"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer application","Recommended for apply 25 kg urea + 15 kg potash + 5 kg Neem cake  / acre. after 1 week MN mixture 5 kg mixed with 20 sand","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-26 09:21:45.800"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Paddy stem rot control management","Recommended for apply Pseudomonas fluorescens 1 kg + farm yard manure 20 kg / acre","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-26 09:27:26.247"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Stem rot control management in paddy","Recommended for apply 1 Pseudomonas fluorescens + 20 kg farm yard manure / acre","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-26 09:33:11.077"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended for spray profenophos 2ml + neemoil 3ml + teepol 1ml/lit of water","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-26 09:39:12.887"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","asking about casurina root rot management","recommended for drench with copper oxy chloride 2.5 g / lit of water.","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-27 09:47:01.810"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Sowing Time and Weather","Sowing season and varieties for paddy","Recommedned for sowing (December-January)and varieties  ADT 36, ADT 39, ASD 16, ASD 18, ADT 43, ADT (R) 45, MDU 5, CO 47,CORH 3, ADT 43, ADT (R) 45","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-27 10:19:19.317"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","foliar spray management for paddy nursery field","recommended for the spray  19:19:19 2 gm /lit of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-27 10:47:50.770"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","paddy nursery management","Recommedned for spray neem oil 3 ml/lit","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-27 10:54:06.333"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy top dressing fertilizer Management","Recommender for apply urea 25 kg + potash 15 kg + Neem cake 5 kg","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-27 19:53:05.150"
"KHARIF","AGRICULTURE","Others","Others","Weed Management","weed control for korai","Recommended for  spray glyphosate 10 ml + 20g ammonium sulphate + 2 ml soap solution / litre of water before flowering","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-27 21:15:10.223"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","Paddy top dressing fertilizer application","Recommended for apply micro nutrient mixture(micro food) 5 kg / acre","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-28 10:11:08.170"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","Market Information","Ragi market rate","Recommended for Ragi market rate Rs 1689-1727/quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-28 15:04:30.890"
"KHARIF","AGRICULTURE","Millets","Italian Millet (Thenai/Navane/Foxtail Millet/Kang)","Market Information","Thenai market rate","Recommended for Thenai market rate Rs 1509/quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-28 16:05:11.163"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","root rot in paddy","Recommended for soil application of Trichoderma viride 1 kg + 20 kg sand / ac","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-28 18:39:37.740"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Varieties","Black gram seeds availability information","Recommended for contact to Krishi Vigyan Kendra , Vridhachalam , 04143-238353","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-29 11:40:21.360"
"NA","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","paddy TKM 13 seeds availability information","Recommended for Rice Research Station, Tirur contact no. 044 - 27620233","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-29 12:46:29.180"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","asking about TKM 13 seeds availability information","Recommneded for Rice Research Station, Tirur contact no. 044 - 27620233","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-09-29 17:18:07.913"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","Asking about paddy TKM 13 crop duration","Recommended for paddy TKM 13 crop duration is 130-135 days","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-09-29 17:30:56.257"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Brinjal Shoot and fruit borer management","Recommended for Avoid continuous cropping of brinjal crop , Install pheromone trap@ 5 / acre , Spray Daichlorvas 76% EC (Nuvan)2 ml/ lit of water .(Avoid using insecticides at the time of fruit maturation and harvest).","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-30 07:19:40.360"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply  urea 25 kg + potash 15 kg + neem cake 10 kg /acre","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-09-30 12:39:16.263"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-09-30 15:57:17.537"
