"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Market Information","Market rate for black gram","Recommended for Rs 3259-10209/quintal.","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-07 17:10:15.387"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","asking about paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-08 09:15:39.223"
"KHARIF","HORTICULTURE","Fruits","Aonla","Bio-Pesticides and Bio-Fertilizers","disease pre control in amla","recommended for spray Pseudomonas fluorescence 5 g/lit of water","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-07-08 09:43:50.567"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Shoot and fruit borer control in brinjal","recommended for spray Thiodicarb 2 g/lit of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-08 11:21:58.633"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot borer in brinjal","recommended for spray profenophos50EC 2ml+teepol 1ml+neemoil 3ml/lit of water","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-08 12:22:15.803"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Bhendi leaf feeder management","recommended for spray profenophos 2 ml + acephate 1 gm / lit of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-08 12:25:17.057"
"KHARIF","AGRICULTURE","Others","Others","Seeds","asking for Casuarina seedlings availability","recommended for contacting Phone: 04254 - 222398, 222010","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-08 16:02:10.980"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","Basal dose fertilizer application in Paddy","Recommended for apply DAP-50 kg + Zinc sulphate-10 kg +neem cake-10 kg/acre","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-08 16:34:29.900"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weed management for paddy (Direct wet seeded rice)","Recommended for spray Pritilachlor 600 ml/ ac on 8th day after sowing","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-08 17:01:14.150"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Weed management for direct sowing paddy","Recommended for apply pretilachlor 600 ml mixed with 20 kg of sand  /acre at 8 day","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-08 17:03:34.370"
"KHARIF","HORTICULTURE","Vegetables","Onion","Nutrient Management","Foliar nutrient spray for small onion","Recommended for spray potassium sulphate 10 g / litre of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-08 17:36:54.573"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Mango stem borer","Recommended for apply carbofuran 3G 5 g per hole and plug with mud","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-08 17:51:52.997"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Rhinoceros beetle in coconut","Recommended for apply neem seed kernel powder 150 g + sand 300 g /tree","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-08 17:53:56.320"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Market information of Sesame","Recommended Market information of Sesame at Vikkiravandi is Rs.4516-5750/quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-09 15:14:12.447"
"JAYAD","HORTICULTURE","Vegetables","Amaranthus/Grain Amaranthus","	Plant Protection	","asking about amaranthus top fertilizer management","recommended for trichoderma viride 1 kg mixed with 20 kg FYM","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-09 17:35:41.627"
"JAYAD","HORTICULTURE","Vegetables","Amaranthus/Grain Amaranthus","	Plant Protection	","asking about amaranthus top fertilizer management","recommended for trichoderma viride 1 kg mixed with 20 kg of FYM","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-10 08:48:57.480"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","	Plant Protection	","tapioca mealy bug management","recommended for spray profenophos 2 ml + acephate 1 g  / lit of water.","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-07-11 16:16:13.150"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Aloe Vera","Vegetative Propagation and Tissue Culture","Asking aloe Vera planting material availability","Recommended to contact Villupuram district horticulture department phone: 04146-221163","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-11 16:36:24.823"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Villupuram black gram market rate","Recommended for  Villupuram black gram market rate Rs 9499-9889/ quintal","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-07-11 17:55:58.380"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Nutrient Management","duration of Tomato","Recommended for the duration is minimum CO.3 100-105 days and maximum CO.2 duration of  145 days","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-12 07:30:40.097"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","asking about paddy basal fertilizer management","recommended for FYM 5 tonnes + DAP 50 kg + znso4 10 kg + neem cake 10 kg /acre","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-12 08:55:01.200"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","basal fertilizer requirement in paddy","recommended for application of 50 kg DAp + 10 kg neem cake + 10 kg zinc sulphate + 5 tonnes FYM per acre","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-12 09:01:00.503"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","Asking about sugarcane top dressing management","Recommended for apply urea 80 kg + potash 25 kg + neem cake 20 kg /acre","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-12 09:03:50.413"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Thattanchavady Gingelly market  rate as per (30/06/2016)","Recommended for Thattanchavady Gingelly market  rate (30/06/2016)  Rs 2096-5761/ Quintal .","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-12 14:51:14.447"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Sowing Time and Weather","Paddy sowing season and varieties","Recommended for Samba(Aug)I.White Ponni, CO 43, CR 1009, ADT 38, TRY 1*, ASD 19, ADT (R) 44, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49, TNAU Rice ADT 50","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-12 19:45:01.260"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","asking about paddy season and varieties","Recommended for White Ponni, CO 43, CR 1009, ADT 38, TRY 1*, ASD 19, ADT (R) 44, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49, TNAU Rice ADT 50","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-07-13 10:41:48.687"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","Black  gram sowing season","recommended for the black  gram season  :Adipattam (June-August)","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-07-13 14:31:14.750"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Sowing Time and Weather","sowing season for  Black gram","Recommended for sowing black gram Adipattam (June-August)","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-13 14:39:02.373"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Market Information","black gram market rate details","recommended for black gram market rate Rs 8999-9961 / quintal","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-07-13 18:10:52.897"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","Co 50 paddy variety Duration (days)","Recommended for Co 50 paddy variety Duration (days) : 130 – 135 days","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-14 11:44:50.637"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-14 18:01:17.263"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","asking about paddy market rate details","recommended for paddy market rate Rs 2250-2333 / quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-15 11:11:13.777"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","asking about flower induce in Blackgram","Recommended for spray nitrobenzene 2 ml / liter of water","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-16 12:34:02.100"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","asking about Vikkiravandi paddy ADT 37 market rate","Recommended for Vikkiravandi paddy ADT 37 market rate : 1279 Rs/Quintal (15.07.2016)","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-17 10:39:15.820"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","varieties of paddy","recommended varieties of paddy I.White Ponni, CO 43, CR 1009, ADT 38, TRY 1*, ASD 19, ADT (R) 44, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49, TNAU Rice ADT 50","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-18 11:29:37.033"
"KHARIF","HORTICULTURE","Plantation Crops","Palmyra","Market Information","harvesting time of patanir from palmyrah","recommended for Planting after 12 to 15 years of palm","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-18 11:43:09.867"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","asking about paddy weed management","recommended for hand weeding is best","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-18 13:42:36.580"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Asking about weeds control in paddy","Recommended for spray Namini gold 80ml / ac 200 litter of water 21st day after planting.","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-18 13:48:23.430"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Market rate information for sesame","Recommended for Panrutimarket rate : 3998 - 6648 Rs/Quintal","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-07-18 17:04:59.153"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Asking about mealy bug management for cotton","Recommended for spray Imidacloprid 5 ml +acephate 20 g + sticking agent 10 ml /10 litre of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-18 18:09:54.640"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","sesame market rate","Recommended for sesame market rate Rs 4125-8336/quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-18 18:43:42.833"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Jassids and leaf hopper control management in bhendi","Recommended for spray profenophos 2 ml / 1 litre of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-18 18:59:54.517"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Asking about fruit borer management in Bhendi","Recommended for spray Quinalphos 2 ml /litre of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-18 19:07:59.563"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Market Information","Villupuram black gram market rate","Recommended for  Villupuram black gram market rate Rs 8700-9400/ quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-19 17:05:42.530"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","asking about paddy foliar application information","Recommended for spray urea 5 g + zinc sulphate 5 g / liter of water","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-20 06:49:59.787"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","top dressing for paddy","recommended for apply ammonium sulphate 30kg/ac","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-07-21 11:24:52.780"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for urea 25 kg+ potash 15 kg+ neem cake 5 kg+ mn mixture 5 kg /ac.","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-07-21 16:45:51.237"
"NA","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","Recommended for spray Chlorpyriphos 2ml/lit of water","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-07-21 17:39:52.847"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","Cultural Practices","Bhendi sowing season","Recommended for Planting can be done during June - August and February","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-21 17:49:16.530"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Cotton aphid management","recommended for the spray  Dimethoate  2mllit of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-07-23 13:07:58.283"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","contact number of puducherry nabard bank","recommended number for puducherry nabard bank is 0413 2245241","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-23 14:56:04.530"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Market Information","black gram market rate","Recommended for black gram market rate Rs 4917-9999/ quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-23 18:38:24.753"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","Asking about Azola recommendation level in paddy","Recommended for apply Azola 100 kg/ac.","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-24 18:28:10.007"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","yellowing of leaf in casuarina","Recommended for soil application biofertilizers 20gm/tree","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-07-25 09:33:23.133"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Market information of Sesame","Recommended Market information of Sesame at Villupuram is Rs 40-52/kg on 22.07.16","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-25 10:58:40.793"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","asking about Vikkiravandi sesamum market rate","recommended for Vikkiravandi sesamum market rate  Rs.4775-4775/ quintal","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-25 18:37:57.840"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather report information","recommended for cloudy weather  and possibility of rain fall","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-26 11:18:29.527"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","Nutrient Management","Ragi top fertilizer application","Recommended for apply 25 kg urea / acre at 35th day from date of planting","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-07-26 14:45:10.423"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Nutrient Management","asking about Blackgram market information","recommended for Villupuram market price Rs.8899-9123/Quintal (26.07.16)","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-26 16:46:35.073"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","paddy BPT variety duration (days)","Recommended for paddy BPT variety duration (days) : 150 days","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-26 16:56:14.003"
"KHARIF","AGRICULTURE","Others","Others","Market Information","asking about sesame market information","recommended for Kallakurichi market price Rs.5074-8011 /Quintal (26.07.16)","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-27 08:23:22.980"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","TRY 3 Paddy variety information","Recommended for Duration (days) - 135 and Yield (Kg/ac) - 2333 / acre","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-28 11:28:06.093"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Market Information","Market rate information for black gram","Recommended for Villupuram market rate : 8696- 9009 Rs/Quintal","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-07-28 11:42:47.127"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Sowing Time and Weather","Paddy sowing season and variety","recommended for I.White Ponni, Bhavani, CO 43, TRY 1*, TRY (R ) 3*, ADT (R) 44, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49, TNAU Rice ADT 50","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-07-29 08:06:17.787"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about villupuram today weather Report","Recommended for villupuram today weather Report : Light Rain fall","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-07-30 18:53:43.233"
